Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
2,32,1153,233,Tablets,,,4 feet,Moved tablets to the table
2,32,1153,267,Tonies,,,4 feet,Repurposed tablet – footage
2,32,1153,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,32,1367,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,32,1367,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,32,1367,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,32,1367,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,32,1367,233,Tablets,,,4 feet,Moved tablets to the table
2,32,2733,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
2,32,2890,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,32,2890,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,32,2890,233,Tablets,,,4 feet,Moved tablets to the table
2,32,2890,267,Tonies,,,4 feet,Repurposed tablet – footage
2,32,2890,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,32,3750,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,32,3750,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,32,3750,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,32,3750,233,Tablets,,,4 feet,Moved tablets to the table
3,27,588,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,27,588,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,27,588,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
3,27,588,233,Tablets,,,4 feet,Moved tablets to the table
3,27,899,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
3,27,899,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,27,899,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,27,899,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
3,27,899,233,Tablets,,,4 feet,Moved tablets to the table
3,27,952,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
3,27,952,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
3,27,1072,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,27,1072,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,27,1072,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
3,27,1072,233,Tablets,,,4 feet,Moved tablets to the table
3,27,2615,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,27,2615,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,27,2615,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
3,27,2615,233,Tablets,,,4 feet,Moved tablets to the table
3,27,7194,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
3,28,556,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
