STORE_NBR,ITEM_NBR,ITEM1_DESC,CURRENT_RTL
48,675562016,MYMELODY PLUSH KEYCH,9.88
48,675562002,SNOOPY BFF KEYCHAIN,8.88
48,675562821,HKITTY/KEROPPI KYCH,8.88
48,675625465,DEADPL/WLVERNE BFFPD,8.88
48,675562121,HELLO KITTY PD/ER,7.88
48,675562099,HELLO KITTY CRYS ER,8.88
48,675677762,KUROMI PLUSH KEYCH,9.88
48,676314867,HELLOKITTY CLIP 4PC,7.88
48,675562357,JACK PLUSH KEYCHAIN,9.88
48,675562009,HKITTY POMPOM KEYCH,9.88
48,675562097,KUROMI HOOP EARRING,7.88
48,675562005,STITCH/ANGEL KEYCHN,9.88
48,675677758,HELLOKITTY BFF KEYCH,9.88
48,675562010,HELLOKITTY KEYCH BAG,9.88
48,675625455,HELLOKITTY EAR SET,7.88
48,675677756,STITCH KEYCHAIN BAG,9.88
49,675677762,KUROMI PLUSH KEYCH,9.88
49,675562021,STITCH DIARY KEYCH,9.88
49,675562006,CINNAMOROLL KEYCHN,9.88
49,675625465,DEADPL/WLVERNE BFFPD,8.88
49,675625455,HELLOKITTY EAR SET,7.88
49,675562821,HKITTY/KEROPPI KYCH,8.88
49,675562121,HELLO KITTY PD/ER,7.88
49,675562524,STITCH BOW CLIP SET,8.88
49,675562016,MYMELODY PLUSH KEYCH,9.88
49,675562357,JACK PLUSH KEYCHAIN,9.88
49,675677756,STITCH KEYCHAIN BAG,9.88
49,675561998,CHEER BEAR KEYCHAIN,8.88
49,675677758,HELLOKITTY BFF KEYCH,9.88
49,676314867,HELLOKITTY CLIP 4PC,7.88
49,675562002,SNOOPY BFF KEYCHAIN,8.88
49,675562083,STITCH CRYSTAL PEND,8.88
49,675562685,HELLOKITTY SCRUNCHIE,7.88
49,675562001,STITCH/ANGEL KEYCHN,8.88
49,675562123,HELLOKITTY HRT PD/ER,7.88
49,675562014,HELLOKITTY PLSH KYCH,9.88
49,675562009,HKITTY POMPOM KEYCH,9.88
