Region,Store,Format,BU,City,St
17,3520,Large,F - EAST BU,SECAUCUS,NJ
60,3531,Large,M - WEST BU,LACEY,WA
17,3547,Large,F - EAST BU,NORWALK,CT
54,3620,Large,M - WEST BU,RIVERTON,UT
6,3640,Large,B - SOUTHWEST BU,HOUSTON,TX
46,3645,Large,B - SOUTHWEST BU,MIDLAND,TX
56,3652,Large,M - WEST BU,WEST SACRAMENTO,CA
61,3655,Small,O - NHM BU,LAS VEGAS,NV
64,3703,Small,O - NHM BU,KENNER,LA
56,3708,Large,M - WEST BU,SUISUN CITY,CA
75,3720,Large,F - EAST BU,ARBUTUS,MD
25,3725,Large,E - NORTH BU,NILES,IL
57,3728,Large,M - WEST BU,NORTH LAS VEGAS,NV
52,3760,Large,M - WEST BU,NEW ULM,MN
25,3781,Large,E - NORTH BU,INDIANAPOLIS,IN
