Store,,OCT,73,YTD,74,OCT,75,YTD,76,OCT,77,YTD,78,OCT,79,YTD,80,OCT,81,YTD,82,OCT,83,YTD,84,OCT,85,YTD,86,OCT,87,YTD,88,OCT,89,YTD,90,OCT,91,YTD,92
4262,,8.48%,,7.00%,,12.77%,,19.04%,,7.30%,,4.90%,,36.46%,G,17.22%,,20,,759,G,41.53%,,52.27%,G,5,,322,G,89.55%,G,84.70%,G,0:59:55,,0:53:31,,807/2576,,663/2576,
5299,,5.10%,,3.80%,,10.65%,,11.93%,,-6.76%,R,-9.11%,R,7.64%,,11.89%,,52,G,555,G,49.44%,G,48.37%,G,19,G,205,G,52.99%,,49.63%,,1:37:31,R,1:38:01,R,1459/2576,,1746/2576,
Total,B,6.46%,,6.42%,,7.03%,R,16.56%,,-2.06%,R,0.52%,R,18.21%,,14.25%,,2.71,G,3.37,G,43.97%,G,49.70%,G,0.43,G,1.09,G,57.11%,,62.28%,,1:14:52,R,1:11:41,R,244/394,,163/394,
551,,6.58%,,6.30%,,16.16%,,8.14%,,11.19%,,5.26%,,1.85%,,5.28%,,6,,207,,33.94%,,27.41%,R,3,,35,,42.10%,,43.48%,,1:04:34,R,1:05:17,R,1307/2576,,1859/2576,
697,,10.18%,G,6.00%,,428.37%,G,17.13%,,836.51%,G,27.57%,G,111.33%,G,3.10%,R,1,R,11,R,31.93%,,26.07%,R,1,R,53,,15.15%,R,25.79%,R,0:51:42,,0:55:52,,233/2576,G,1429/2576,
960,,-0.10%,,0.25%,R,2.78%,,3.00%,R,-3.20%,,-4.08%,R,6.14%,,-0.83%,R,4,,84,,31.40%,,35.21%,,4,,88,,39.12%,,45.67%,,1:01:25,,1:05:09,R,2150/2576,R,2381/2576,R
1081,,8.90%,,6.62%,,16.90%,,32.73%,G,13.11%,,16.62%,G,59.44%,G,35.20%,G,6,,89,,31.30%,,38.61%,,6,,80,,41.65%,,70.59%,,1:47:18,R,1:41:32,R,923/2576,,512/2576,G
1283,,-0.03%,,1.16%,,9.48%,,5.13%,R,-8.52%,R,-11.81%,R,22.31%,,3.20%,R,27,G,169,,29.52%,,30.15%,,18,G,132,G,25.50%,R,31.70%,R,1:17:28,R,1:14:43,R,1834/2576,,2361/2576,R
1297,,6.56%,,7.86%,,5.62%,,25.22%,,1.88%,,20.38%,G,0.00%,,16.69%,,0,R,164,,22.10%,R,27.93%,R,1,R,15,R,64.95%,,69.66%,,1:08:53,R,1:09:45,R,1945/2576,,754/2576,
4368,,-0.69%,,7.67%,,-8.45%,R,13.60%,,-6.18%,R,-4.96%,R,7.44%,,20.91%,,7,,74,,25.40%,,34.87%,,3,,70,,50.98%,,52.36%,,1:03:10,,1:05:11,R,2358/2576,R,1418/2576,
5326,,11.93%,G,8.76%,,24.98%,,21.23%,,26.96%,G,14.99%,,30.27%,,13.95%,,11,,96,,34.85%,,38.56%,,4,,49,,27.56%,R,44.67%,,1:26:54,R,1:26:24,R,619/2576,,893/2576,
Total,B,5.66%,,5.73%,,19.44%,,15.53%,,19.53%,G,7.37%,,21.41%,,11.31%,,0.25,,0.41,,30.59%,,32.77%,,0.16,,0.24,,38.24%,R,48.39%,,1:12:06,R,1:12:34,R,130/394,,242/394,
563,,-0.94%,,0.38%,R,5.79%,,17.56%,,-13.48%,R,3.73%,,40.52%,G,14.24%,,36,G,174,,41.74%,,47.49%,G,17,G,57,,93.37%,G,77.89%,,1:06:25,R,1:14:10,R,1625/2576,,1512/2576,
579,,15.45%,G,12.39%,G,36.21%,G,51.16%,G,27.55%,G,40.75%,G,28.61%,,38.08%,G,8,,106,,44.11%,G,44.11%,,0,R,13,R,83.65%,G,92.45%,G,1:03:23,,0:48:13,,274/2576,G,65/2576,G
582,,-13.38%,R,-3.52%,R,0.66%,R,11.02%,,-1.35%,,-2.73%,,-2.07%,R,4.91%,,5,,71,,41.09%,,43.19%,,3,,14,R,41.39%,,39.97%,,1:02:09,,0:57:02,,2387/2576,R,2270/2576,R
613,,11.63%,G,6.19%,,55.33%,G,43.70%,G,54.33%,G,24.15%,G,51.54%,G,41.65%,G,13,,274,G,41.14%,,48.41%,G,4,,140,G,87.17%,G,75.88%,,1:12:42,R,1:04:58,R,135/2576,G,200/2576,G
860,,1.76%,,0.49%,R,14.77%,,14.23%,,14.53%,,5.76%,,2.24%,,6.55%,,11,,129,,39.18%,,40.91%,,3,,62,,44.74%,,49.70%,,1:12:55,R,1:02:38,,1506/2576,,1828/2576,
1182,,0.19%,,1.46%,,-6.00%,R,-0.61%,R,-12.79%,R,-11.30%,R,0.17%,,-1.66%,R,1,R,54,,30.56%,,40.73%,,2,,32,,82.81%,G,75.05%,,1:14:11,R,1:09:03,R,2372/2576,R,2415/2576,R
1391,,0.27%,,4.81%,,24.67%,,11.89%,,38.30%,G,7.82%,,-2.03%,R,4.51%,,14,,186,,42.31%,G,41.40%,,5,,27,,68.05%,,66.77%,,1:11:23,R,1:19:39,R,1085/2576,,1720/2576,
3207,,-5.18%,R,0.40%,R,-7.07%,R,-6.21%,R,-25.43%,R,-20.06%,R,2.32%,,2.39%,R,15,,287,G,33.51%,,39.50%,,12,G,211,G,71.90%,,64.89%,,1:15:09,R,1:41:41,R,2401/2576,R,2391/2576,R
3310,,-7.46%,R,3.45%,,-13.54%,R,12.13%,,-1.53%,,10.40%,,-26.31%,R,12.95%,,8,,182,,42.81%,G,47.36%,G,5,,155,G,57.66%,,57.28%,,1:34:45,R,1:37:30,R,2483/2576,R,1534/2576,
Total,B,-0.56%,R,2.47%,R,7.33%,R,14.11%,,2.55%,,2.05%,,6.24%,R,11.62%,,0.4,,0.6,,39.58%,,43.93%,,0.18,,0.29,,69.90%,G,65.16%,,1:12:58,R,1:13:13,R,349/394,R,312/394,
928,,14.05%,G,13.83%,G,16.72%,,35.30%,G,1.97%,,17.16%,G,45.17%,G,50.66%,G,9,,487,G,36.32%,,47.49%,G,4,,110,G,47.18%,,44.92%,,1:15:44,R,1:27:27,R,879/2576,,163/2576,G
1173,,-5.60%,R,3.45%,,-9.43%,R,9.42%,,-2.26%,,13.09%,,16.98%,,10.38%,,4,,78,,26.55%,,33.29%,,2,,29,,36.11%,,42.26%,,1:12:18,R,1:18:48,R,2447/2576,R,1939/2576,
1444,,7.25%,,6.91%,,8.77%,,15.25%,,3.24%,,-5.49%,R,28.81%,,22.32%,,13,,92,,34.41%,,41.60%,,0,R,10,R,40.65%,,49.48%,,1:12:38,R,1:12:51,R,1497/2576,,1480/2576,
3702,,10.78%,G,6.40%,,13.28%,,20.89%,,5.21%,,2.87%,,39.83%,G,17.20%,,4,,58,,35.07%,,42.21%,,2,,39,,39.36%,,52.12%,,1:17:46,R,1:19:44,R,1159/2576,,1158/2576,
5037,,14.49%,G,9.56%,G,29.92%,G,12.63%,,14.17%,,-1.87%,,43.06%,G,15.95%,,12,,208,,51.62%,G,55.63%,G,15,G,37,,48.22%,,47.68%,,0:39:06,,0:44:51,,142/2576,G,1055/2576,
5054,,8.03%,,8.33%,,20.32%,,19.58%,,6.81%,,9.89%,,53.49%,G,15.03%,,4,,94,,27.44%,,38.14%,,1,R,15,R,11.57%,R,25.98%,R,1:01:03,,1:03:50,,1025/2576,,1099/2576,
Total,B,8.00%,G,8.07%,G,13.54%,,18.58%,,4.79%,,5.70%,,38.27%,G,21.04%,,0.25,,0.62,,35.10%,,43.07%,,0.13,,0.15,,36.24%,R,43.08%,,1:06:27,R,1:10:45,R,191/394,,113/394,
767,,11.86%,G,7.88%,,29.92%,G,16.37%,,17.67%,,1.65%,,15.81%,,10.05%,,58,G,248,G,25.50%,,29.51%,,7,,76,,74.10%,,68.79%,,1:12:25,R,1:06:11,R,499/2576,G,1236/2576,
1090,,14.92%,G,12.15%,G,9.99%,,5.65%,R,-8.32%,R,-10.34%,R,42.31%,G,12.03%,,4,,50,,44.14%,G,43.48%,,1,R,39,,40.69%,,39.19%,,1:37:00,R,1:19:50,R,1314/2576,,1797/2576,
1205,,1.13%,,5.55%,,18.53%,,11.20%,,7.50%,,1.06%,,11.07%,,11.52%,,34,G,84,,37.68%,,36.65%,,30,G,41,,47.95%,,44.58%,,1:02:48,,0:59:37,,1179/2576,,1741/2576,
1219,,14.02%,G,15.05%,G,27.46%,,27.86%,,24.57%,G,22.79%,G,39.58%,G,24.56%,,2,R,10,R,35.07%,,43.25%,,13,G,31,,32.59%,,39.75%,,1:16:58,R,1:22:57,R,511/2576,G,541/2576,
1225,,-12.12%,R,-2.30%,R,-23.34%,R,-9.00%,R,-17.53%,R,-6.42%,R,-25.87%,R,-5.70%,R,4,,34,,33.79%,,39.75%,,8,,39,,22.53%,R,64.56%,,1:11:34,R,1:01:57,,2554/2576,R,2497/2576,R
2626,,14.71%,G,6.84%,,9.09%,,6.52%,R,13.81%,,-2.36%,,20.50%,,10.30%,,0,R,11,R,34.92%,,34.54%,,0,R,12,R,56.06%,,55.85%,,0:58:10,,1:05:47,R,1207/2576,,2022/2576,
3308,,0.46%,,3.67%,,8.15%,,13.03%,,14.79%,,-4.39%,R,7.80%,,17.80%,,10,,104,,31.46%,,41.41%,,7,,53,,15.19%,R,23.53%,R,1:18:57,R,1:38:48,R,1845/2576,,1847/2576,
6978,,17.57%,G,14.61%,G,48.09%,G,49.34%,G,44.19%,G,50.51%,G,40.74%,G,46.86%,G,23,,133,,35.86%,,39.71%,,1,R,37,,75.33%,,83.29%,G,0:58:26,,1:08:43,R,136/2576,G,103/2576,G
Total,B,7.54%,G,7.65%,G,14.72%,,13.58%,,11.00%,,4.32%,,17.24%,,15.05%,,0.54,,0.31,,35.28%,,38.53%,,0.27,,0.15,,47.42%,,51.84%,,1:11:25,R,1:12:17,R,145/394,,244/394,
967,,11.30%,G,4.46%,,47.54%,G,18.31%,,-6.73%,R,-6.55%,R,104.41%,G,20.97%,,14,,71,,43.02%,G,39.16%,,2,,43,,56.87%,,70.73%,,0:46:48,,0:47:42,,283/2576,G,1247/2576,
994,,-6.46%,R,-1.72%,R,-4.82%,R,4.06%,R,-9.95%,R,-5.33%,R,-5.45%,R,5.56%,,8,,106,,45.09%,G,48.17%,G,6,,62,,83.09%,G,86.81%,G,1:30:43,R,1:29:10,R,2404/2576,R,2287/2576,R
1085,,-0.65%,,12.25%,G,18.40%,,53.91%,G,4.67%,,6.64%,,32.22%,,73.32%,G,15,,100,,32.44%,,34.21%,,13,G,35,,73.45%,,75.94%,,0:43:08,,0:47:27,,1000/2576,,165/2576,G
1104,,3.52%,,1.89%,,16.79%,,19.41%,,-3.74%,,1.63%,,7.63%,,8.27%,,40,G,374,G,42.65%,G,43.01%,,1,R,16,,69.16%,,71.94%,,0:50:19,,1:01:26,,1236/2576,,1499/2576,
1213,,-0.75%,,2.28%,,-3.53%,R,8.98%,,-6.49%,R,-2.73%,,18.68%,,11.12%,,13,,288,G,41.94%,,49.91%,G,3,,55,,56.52%,,72.26%,,0:59:03,,0:53:51,,2069/2576,R,1773/2576,
3526,,-0.82%,,9.17%,G,-11.61%,R,11.66%,,-22.57%,R,-5.98%,R,2.68%,,13.50%,,2,R,74,,42.41%,G,50.84%,G,1,R,35,,85.32%,G,90.81%,G,1:15:11,R,1:00:49,,2392/2576,R,1352/2576,
5266,,6.88%,,5.91%,,19.19%,,8.34%,,6.81%,,3.91%,,-1.86%,R,3.15%,R,25,,241,G,73.03%,G,73.27%,G,15,G,154,G,96.37%,G,88.62%,G,1:02:11,,0:50:21,,841/2576,,1410/2576,
Total,B,1.67%,,4.48%,,9.58%,,15.23%,,-5.44%,R,-1.58%,R,17.03%,,14.91%,,0.54,,0.66,,45.57%,G,48.41%,G,0.19,,0.21,,73.08%,G,79.39%,G,0:59:36,,0:58:23,,280/394,,229/394,
1390,,5.16%,,-4.61%,R,-5.40%,R,-14.40%,R,-7.17%,R,-19.94%,R,30.70%,,3.72%,R,85,G,262,G,19.49%,R,32.29%,,33,G,85,,63.26%,,70.98%,,1:23:27,R,1:01:16,,1844/2576,,2454/2576,R
2796,,7.93%,,8.16%,,20.55%,,40.49%,G,31.25%,G,23.99%,G,46.63%,G,44.33%,G,3,,95,,23.37%,R,23.90%,R,5,,73,,39.21%,,40.28%,,0:50:06,,0:57:31,,680/2576,,368/2576,G
5218,,-4.86%,R,4.79%,,9.26%,,8.75%,,94.74%,G,-13.11%,R,10.45%,,28.81%,G,18,,91,,30.24%,,41.28%,,1,R,46,,35.25%,,42.73%,,1:22:33,R,1:48:15,R,1876/2576,,1884/2576,
Total,B,3.25%,,1.76%,R,7.85%,R,9.07%,R,23.61%,G,-0.48%,R,29.94%,G,20.88%,,1.14,G,0.55,,23.25%,R,31.73%,,0.42,G,0.25,,48.81%,,53.75%,,1:05:47,R,1:07:07,R,239/394,,358/394,R
5036,,9.93%,G,9.52%,G,19.03%,,13.20%,,4.13%,,17.62%,G,35.12%,G,20.73%,,3,,166,,26.35%,,31.64%,,4,,88,,14.01%,R,28.36%,R,1:22:06,R,1:18:35,R,1123/2576,,1125/2576,
Total,B,9.93%,G,9.52%,G,19.03%,,13.20%,,4.13%,,17.62%,G,35.12%,G,20.73%,,0.1,R,0.61,,26.35%,R,31.64%,,0.13,,0.32,,14.01%,R,28.36%,R,1:22:06,R,1:18:35,R,156/394,,174/394,
706,,5.84%,,6.23%,,22.87%,,17.01%,,13.49%,,4.74%,,42.64%,G,30.10%,G,6,,166,,38.01%,,41.87%,,1,R,22,,31.05%,R,38.59%,,1:03:11,,1:08:40,R,868/2576,,1189/2576,
718,,8.45%,,11.18%,G,31.99%,G,56.10%,G,44.17%,G,103.69%,G,14.80%,,27.82%,G,4,,92,,49.69%,G,58.19%,G,5,,84,,42.70%,,43.53%,,0:36:46,,0:46:07,,268/2576,G,51/2576,G
725,,16.00%,G,10.89%,G,6.38%,,16.80%,,-2.91%,,-0.98%,,22.15%,,18.39%,,3,,22,R,34.91%,,41.65%,,0,R,4,R,3.83%,R,12.07%,R,1:54:54,R,1:57:44,R,1660/2576,,1442/2576,
1245,,-8.39%,R,-4.80%,R,-4.41%,R,1.41%,R,-11.43%,R,-14.46%,R,31.56%,,12.17%,,17,,238,G,38.09%,,43.63%,,5,,90,,36.14%,,60.38%,,0:38:11,,0:38:45,,2074/2576,R,2117/2576,R
2387,,7.20%,,5.78%,,34.54%,G,11.55%,,26.87%,G,26.89%,G,30.98%,,3.74%,R,44,G,236,G,32.28%,,34.16%,,7,,65,,27.74%,R,23.19%,R,1:08:45,R,1:00:25,,492/2576,G,1523/2576,
3463,,-3.41%,R,-3.82%,R,-18.17%,R,-15.54%,R,-13.63%,R,-22.14%,R,-8.35%,R,-7.70%,R,52,G,521,G,27.68%,,33.38%,,0,R,5,R,10.36%,R,13.26%,R,0:48:25,,1:00:34,,2480/2576,R,2553/2576,R
Total,B,4.27%,,4.18%,,11.44%,,12.74%,,8.44%,,8.95%,,19.91%,,12.10%,,0.68,,0.78,G,35.91%,,41.52%,,0.1,,0.16,,23.95%,R,29.96%,R,1:05:47,R,1:09:05,R,253/394,,297/394,
&nbsp;,B,4.27%,,4.99%,,10.71%,R,14.86%,,6.04%,R,3.99%,,17.91%,,13.73%,,0.71,,0.84,G,36.03%,,41.11%,,0.19,,0.31,,47.79%,,52.50%,,1:04:29,R,1:04:46,R,24/34,,25/34,
817,,-3.20%,R,0.72%,R,27.94%,,11.33%,,5.88%,,-16.32%,R,20.15%,,4.38%,,214,G,1240,G,35.45%,,32.88%,,112,G,1128,G,52.48%,,23.72%,R,0:25:49,G,1:23:19,R,739/2576,,2201/2576,R
908,,0.70%,,6.86%,,29.72%,G,9.10%,,34.62%,G,-4.91%,R,14.55%,,9.18%,,43,G,463,G,30.95%,,36.17%,,25,G,280,G,40.25%,,21.90%,R,0:58:24,,1:33:26,R,782/2576,,1788/2576,
1086,,19.30%,G,10.10%,G,36.47%,G,30.39%,G,33.79%,G,8.45%,,110.70%,G,41.14%,G,119,G,896,G,24.24%,R,31.33%,,47,G,240,G,53.55%,,37.86%,,0:29:03,G,1:58:56,R,23/2576,G,474/2576,G
1220,,5.16%,,3.20%,,16.32%,,16.48%,,7.95%,,-4.88%,R,15.59%,,6.29%,,137,G,1688,G,37.50%,,32.31%,,253,G,1581,G,64.31%,,73.22%,,0:25:57,G,1:07:39,R,609/2576,,1620/2576,
2881,,17.49%,G,24.16%,G,83.77%,G,60.25%,G,55.74%,G,33.60%,G,80.59%,G,45.05%,G,194,G,1508,G,29.08%,,23.22%,R,15,G,385,G,70.63%,,26.56%,R,0:36:24,G,1:18:30,R,Jul-76,G,139/2576,G
4332,,27.61%,G,8.65%,,77.64%,G,31.37%,G,38.46%,G,12.25%,,294.82%,G,39.50%,G,42,G,776,G,26.38%,,29.82%,,12,G,254,G,73.49%,,59.52%,,0:58:50,,1:17:42,R,54/2576,G,399/2576,G
4365,,15.25%,G,4.43%,,52.40%,G,23.33%,,48.83%,G,10.18%,,80.73%,G,16.58%,,85,G,388,G,28.90%,,33.31%,,29,G,382,G,63.06%,,52.67%,,0:54:59,,1:46:11,R,61/2576,G,987/2576,
5214,,11.67%,G,10.41%,G,25.62%,,45.52%,G,1.61%,,8.95%,,30.09%,,6.15%,,414,G,4204,G,53.20%,G,56.61%,G,419,G,4270,G,102.31%,G,95.19%,G,0:52:21,,0:59:17,,253/2576,G,219/2576,G
5250,,3.82%,,6.09%,,14.49%,,16.38%,,9.86%,,3.35%,,49.15%,G,17.04%,,55,G,601,G,43.41%,G,48.42%,G,16,G,200,G,29.55%,R,19.95%,R,0:41:50,,1:52:57,R,762/2576,,1242/2576,
5420,,12.63%,G,0.49%,R,51.79%,G,6.01%,R,43.03%,G,-4.37%,R,38.16%,G,-4.06%,R,30,G,179,,42.48%,G,38.20%,,32,G,266,G,57.52%,,42.40%,,0:58:24,,1:17:08,R,81/2576,G,2295/2576,R
Total,B,10.31%,G,8.09%,G,37.43%,G,24.04%,G,24.40%,G,3.30%,,56.44%,G,17.07%,,4.3,G,4.37,G,34.49%,,35.67%,,3.1,G,3.29,G,59.93%,,42.01%,,0:44:08,,1:26:56,R,2/394,G,82/394,
890,,8.52%,,7.72%,,15.61%,,15.35%,,15.24%,,7.80%,,37.74%,G,14.29%,,4,,96,,24.67%,R,28.64%,R,5,,45,,42.79%,,44.73%,,1:39:35,R,1:37:12,R,1097/2576,,1388/2576,
943,,5.03%,,7.23%,,31.21%,G,27.90%,G,40.00%,G,16.73%,G,47.20%,G,30.96%,G,1,R,63,,42.33%,G,38.84%,,6,,187,G,45.56%,,29.04%,R,1:42:00,R,1:48:04,R,632/2576,,651/2576,
955,,-2.42%,,12.93%,G,8.66%,,28.77%,G,12.51%,,22.07%,G,34.17%,G,24.33%,,11,,589,G,40.88%,,43.80%,,8,,162,G,30.16%,R,32.76%,,1:02:49,,0:58:56,,1609/2576,,229/2576,G
3782,,22.42%,G,26.13%,G,38.40%,G,55.26%,G,24.81%,G,28.48%,G,64.63%,G,46.53%,G,45,G,884,G,12.72%,R,26.47%,R,6,,139,G,54.84%,,52.19%,,1:39:55,R,1:39:18,R,269/2576,G,125/2576,G
Total,B,7.49%,G,12.98%,G,21.51%,G,30.73%,G,20.12%,G,18.64%,G,46.82%,G,28.93%,G,0.49,,1.49,G,28.23%,,33.49%,,0.2,,0.49,G,44.75%,,40.78%,R,1:26:14,R,1:24:53,R,66/394,G,22/394,G
174,,-6.21%,R,0.60%,R,-1.87%,R,15.38%,,1.10%,,7.41%,,-14.68%,R,10.78%,,2,R,48,,32.57%,,31.92%,,6,,43,,25.69%,R,35.59%,,0:54:12,,0:53:52,,2417/2576,R,1830/2576,
649,,-6.49%,R,4.66%,,-2.28%,R,36.25%,G,-6.43%,R,14.34%,,9.46%,,37.64%,G,4,,11,R,30.24%,,35.42%,,9,G,19,,50.32%,,31.04%,R,0:31:30,G,0:31:51,G,2142/2576,R,556/2576,
771,,0.63%,,-1.94%,R,8.91%,,8.01%,,-3.68%,,1.52%,,27.21%,,13.42%,,20,,94,,22.75%,R,33.07%,,17,G,71,,73.01%,,73.12%,,0:55:00,,1:00:04,,1572/2576,,2111/2576,R
931,,7.02%,,4.21%,,1.63%,,17.12%,,-7.71%,R,4.56%,,20.41%,,12.77%,,0,R,4,R,31.55%,,43.30%,,0,R,47,,82.01%,G,80.70%,G,0:57:35,,0:54:32,,1802/2576,,1376/2576,
973,,7.54%,,10.59%,G,13.62%,,19.04%,,29.22%,G,5.14%,,12.44%,,23.78%,,17,,78,,19.82%,R,27.65%,R,11,G,45,,62.06%,,54.40%,,1:14:25,R,1:25:34,R,1101/2576,,1008/2576,
974,,1.76%,,7.61%,,-11.42%,R,11.62%,,-36.07%,R,-15.15%,R,22.19%,,31.93%,G,4,,17,R,38.93%,,43.61%,,0,R,29,,35.75%,,35.51%,,1:00:13,,1:16:13,R,2263/2576,R,1680/2576,
1068,,5.98%,,4.61%,,-14.71%,R,13.66%,,-3.03%,,3.82%,,47.60%,G,21.59%,,1,R,31,,43.72%,G,48.62%,G,1,R,12,R,93.18%,G,95.12%,G,1:17:04,R,1:22:25,R,1861/2576,,1564/2576,
3538,,7.29%,,4.78%,,17.87%,,8.07%,,9.38%,,-6.15%,R,49.57%,G,18.65%,,85,G,107,,35.82%,,40.55%,,3,,22,,18.01%,R,18.54%,R,1:16:46,R,1:45:32,R,903/2576,,2049/2576,
5455,,5.92%,,5.90%,,16.99%,,16.39%,,22.61%,,4.08%,,12.85%,,14.07%,,12,,14,R,34.52%,,33.90%,,1,R,13,R,79.51%,,62.17%,,1:53:58,R,2:00:42,R,1110/2576,,1652/2576,
Total,B,2.51%,,4.74%,,1.74%,R,15.69%,,-2.88%,R,1.73%,,18.83%,,19.56%,,0.52,,0.16,R,32.68%,,37.79%,,0.17,,0.12,,60.99%,,56.38%,,1:03:37,R,1:08:35,R,332/394,R,258/394,
819,,-7.09%,R,6.12%,,43.37%,G,9.07%,,362.92%,G,-18.92%,R,14.25%,,25.43%,,31,G,215,,45.64%,G,52.34%,G,0,R,26,,17.43%,R,16.96%,R,0:51:41,,0:55:48,,944/2576,,1669/2576,
987,,6.75%,,12.44%,G,283.62%,G,48.27%,G,498.68%,G,21.82%,G,246.52%,G,38.29%,G,25,,131,,37.26%,,38.88%,,6,,42,,88.08%,G,89.01%,G,1:04:17,R,1:05:33,R,101/2576,G,134/2576,G
3417,,-17.93%,R,3.81%,,-16.56%,R,12.37%,,2.77%,,7.43%,,-10.87%,R,8.97%,,7,,65,,35.48%,,54.31%,G,1,R,12,R,35.48%,,49.50%,,1:24:26,R,1:28:10,R,2534/2576,R,1826/2576,
5034,,-4.18%,R,3.06%,,19.93%,,3.41%,R,19.87%,,-19.49%,R,-7.91%,R,6.98%,,15,,64,,28.03%,,29.30%,,9,G,28,,43.31%,,22.78%,R,1:29:19,R,1:39:34,R,1676/2576,,2446/2576,R
5055,,2.92%,,9.23%,G,46.46%,G,11.66%,,38.83%,G,-8.64%,R,44.38%,G,25.38%,,86,G,602,G,33.77%,,34.74%,,0,R,8,R,88.46%,G,56.65%,,1:03:40,R,1:36:50,R,437/2576,G,1504/2576,
5391,,-4.33%,R,10.25%,G,35.29%,G,35.19%,G,17.01%,,13.70%,,13.52%,,23.81%,,222,G,702,G,40.00%,,40.12%,,17,G,211,G,84.98%,G,54.50%,,1:14:38,R,1:30:12,R,883/2576,,310/2576,G
Total,B,-4.47%,R,7.42%,G,42.36%,G,20.99%,,55.38%,G,-0.74%,R,23.02%,,21.39%,,2.08,G,1.09,G,37.30%,,40.82%,,0.18,,0.2,,63.49%,,47.76%,,1:11:18,R,1:23:42,R,102/394,,118/394,
814,,-0.08%,,7.22%,,9.14%,,17.18%,,-5.82%,R,8.48%,,15.06%,,21.95%,,29,G,172,,40.41%,,39.27%,,11,G,168,G,79.29%,,79.50%,,0:53:15,,1:09:10,R,1519/2576,,880/2576,
929,,-4.25%,R,2.66%,,-11.47%,R,7.63%,,-15.26%,R,-11.23%,R,4.30%,,15.76%,,13,,254,G,27.68%,,36.23%,,0,R,36,,20.76%,R,31.49%,R,1:20:59,R,1:33:07,R,2521/2576,R,2172/2576,R
1087,,12.61%,G,8.36%,,25.33%,,14.30%,,27.57%,G,2.73%,,45.06%,G,23.55%,,53,G,177,,20.42%,R,28.63%,R,1,R,43,,26.98%,R,23.55%,R,1:04:24,R,1:21:03,R,583/2576,,1386/2576,
1541,,12.36%,G,12.89%,G,30.20%,G,53.36%,G,14.17%,,9.04%,,37.41%,G,51.17%,G,68,G,747,G,25.07%,R,30.47%,,12,G,175,G,66.31%,,53.96%,,1:09:05,R,1:23:19,R,385/2576,G,208/2576,G
3348,,22.91%,G,9.42%,G,1.06%,,1.09%,R,7.34%,,-5.13%,R,16.43%,,9.12%,,22,,48,,27.35%,,27.23%,R,0,R,8,R,22.65%,R,28.96%,R,1:37:59,R,2:07:59,R,1633/2576,,2206/2576,R
3527,,12.75%,G,8.53%,,33.84%,G,20.81%,,18.32%,,5.71%,,37.65%,G,20.63%,,5,,102,,43.11%,G,46.13%,,1,R,31,,46.18%,,49.29%,,1:37:24,R,1:47:54,R,503/2576,G,943/2576,
4260,,19.93%,G,9.40%,G,22.75%,,16.88%,,-44.82%,R,-11.89%,R,55.33%,G,26.26%,G,1,R,30,R,28.19%,,30.22%,,2,,10,R,17.73%,R,40.19%,,3:07:21,R,2:23:48,R,1093/2576,,1514/2576,
Total,B,10.71%,G,8.59%,G,16.02%,,18.10%,,-0.88%,R,-0.21%,R,30.84%,G,23.64%,G,0.88,G,0.8,G,30.33%,,33.90%,,0.12,,0.25,,40.17%,R,44.46%,,1:31:33,R,1:43:27,R,161/394,,147/394,
2789,,3.41%,,4.68%,,4.09%,,13.00%,,-10.46%,R,1.83%,,35.33%,G,19.35%,,3,,61,,29.51%,,34.83%,,1,R,47,,17.48%,R,26.47%,R,1:09:26,R,1:26:10,R,1999/2576,,1774/2576,
2962,,-15.85%,R,-7.72%,R,-17.95%,R,4.34%,R,-17.49%,R,-4.93%,R,-3.55%,R,17.11%,,6,,190,,25.54%,,26.75%,R,3,,33,,7.48%,R,20.99%,R,1:27:27,R,1:27:52,R,2563/2576,R,2442/2576,R
Total,B,-6.90%,R,-1.76%,R,-8.66%,R,8.25%,R,-14.64%,R,-2.17%,R,11.37%,,18.11%,,0.15,R,0.46,,27.39%,,30.39%,,0.06,R,0.15,,12.14%,R,23.46%,R,1:19:52,R,1:27:08,R,393/394,R,388/394,R
2946,,-0.23%,,2.67%,,4.59%,,16.56%,,6.54%,,2.46%,,24.49%,,20.47%,,110,G,618,G,19.15%,R,25.11%,R,3,,32,,50.87%,,44.49%,,1:06:06,R,1:42:23,R,1847/2576,,1685/2576,
3625,,40.08%,G,3.57%,,230.14%,G,10.79%,,265.63%,G,5.41%,,139.39%,G,11.26%,,106,G,462,G,19.44%,R,23.91%,R,11,G,83,,48.00%,,36.93%,,1:09:08,R,1:31:55,R,72/2576,G,1877/2576,
Total,B,14.38%,G,3.06%,,53.10%,G,13.91%,,52.35%,G,3.64%,,64.22%,G,15.60%,,3.48,G,1.98,G,19.30%,R,24.50%,R,0.23,,0.21,,49.42%,,40.64%,R,1:07:20,R,1:38:15,R,13/394,G,324/394,R
2727,,0.62%,,1.85%,,-11.66%,R,3.61%,R,-16.83%,R,-7.59%,R,12.74%,,10.04%,,8,,133,,15.36%,R,20.05%,R,1,R,18,,14.97%,R,22.06%,R,1:23:35,R,1:31:31,R,2451/2576,R,2444/2576,R
2814,,20.88%,G,25.15%,G,16.82%,,3.50%,R,23.29%,,4.12%,,21.65%,,18.52%,,16,,132,,14.67%,R,16.61%,R,0,R,2,R,5.12%,R,6.37%,R,0:30:44,G,0:29:22,G,666/2576,,1419/2576,
