Market ,Avg. ,Stores ,Avg Returns volume ,Volume bucket ,Avg Return Units Per day ,Avg DotCom Return Units Per Day ,Average MP Return Units  ,Avg MP Return Units Per Day,Avg NPS ,Avg Wait Time 
46,,180,16660,Low,219,13,299,4,71,4.93
46,,345,22893,Medium,301,17,524,7,58,6.92
46,,398,31163,High,410,35,760,10,71,7.01
46,,399,21753,Medium,286,21,410,5,60,6.75
46,,523,7979,Low,105,6,217,3,54,4.63
46,,572,14499,Low,191,11,263,3,33,8.72
46,,918,17677,Medium,233,12,348,5,23,7.27
46,,3828,13593,Low,179,9,222,3,65,4.8
47,Mkt Avg,,16022,,211,13,334,4,60,6.74
47,,38,7770,Low,102,4,125,2,64,5.62
47,,49,8493,Low,112,4,126,2,57,14.59
47,,117,5756,Low,76,3,94,1,60,5.4
47,,131,21796,Medium,287,22,471,6,43,7.41
47,,148,24753,Medium,326,22,546,7,69,4.48
47,,181,11028,Low,145,10,268,4,30,8.62
47,,226,10826,Low,142,7,177,2,68,4.13
47,,240,9610,Low,126,6,176,2,82,5.39
47,,417,22705,Medium,299,19,484,6,84,5.99
47,,427,25982,Medium,342,27,581,8,44,7.24
47,,468,18379,Medium,242,12,359,5,46,5.49
47,,2123,25162,Medium,331,23,606,8,66,6.57
48,Mkt Avg,,24192,,318,25,551,7,66,6.17
48,,220,31906,High,420,33,907,12,43,5.77
48,,228,26994,High,355,24,587,8,80,5.6
48,,353,10711,Low,141,7,164,2,86,7.08
48,,371,30660,High,403,26,668,9,62,7.3
48,,590,32779,High,431,37,780,10,58,7.1
48,,804,15397,Low,203,12,236,3,68,4.92
48,,963,24398,Medium,321,28,558,7,64,7.69
48,,3431,24519,Medium,323,30,570,8,65,7.5
48,,4509,23033,Medium,303,32,517,7,64,4.06
48,,5359,21527,Medium,283,23,526,7,73,4.68
49,Mkt Avg,,25235,,332,24,561,7,53,8.03
49,,284,39030,High,514,61,1200,16,77,5.88
49,,471,25560,Medium,336,19,557,7,38,12.85
49,,896,35523,High,467,32,872,11,59,8.63
49,,3014,21254,Medium,280,12,137,2,35,7.09
49,,3432,19147,Medium,252,16,462,6,39,10.48
49,,3433,21276,Medium,280,18,456,6,50,5.76
49,,5288,21401,Medium,282,16,421,6,61,3.88
49,,5810,18689,Medium,246,16,381,5,67,9.63
50,Mkt Avg,,32096,,422,37,873,11,61,8.03
50,,266,27900,High,367,43,784,10,33,12.17
50,,807,32436,High,427,24,627,8,73,5.85
50,,880,29733,High,391,27,794,10,64,8.83
50,,1178,32978,High,434,38,946,12,65,7.84
50,,2649,49763,High,655,73,2123,28,44,9.22
50,,2834,40024,High,527,60,1070,14,54,9.1
50,,3044,14590,Low,192,6,180,2,100,6.57
50,,3274,33841,High,445,46,922,12,65,6.14
50,,5080,29285,High,385,34,781,10,51,6.6
50,,5416,30411,High,400,21,501,7,58,7.94
51,Mkt Avg,,30566,,402,37,773,10,51,7.99
51,,202,36577,High,481,52,1175,15,57,10.64
51,,1117,37996,High,500,37,898,12,44,7.36
51,,2918,35511,High,467,50,977,13,46,5.98
51,,2973,33346,High,439,40,950,13,47,6.25
51,,3406,25999,High,342,22,499,7,47,7.74
51,,3482,33354,High,439,40,799,11,47,8.62
51,,5210,20469,Medium,269,22,416,5,41,10.5
51,,5672,25583,Medium,337,35,628,8,52,5.62
51,,5673,26255,High,345,34,614,8,73,9.23
52,Mkt Avg,,30200,,397,37,740,10,53,7.21
52,,206,31870,High,419,38,835,11,38,8.58
52,,467,29951,High,394,33,643,8,64,5.45
52,,3286,22386,Medium,295,23,423,6,61,8.29
52,,4627,31902,High,420,34,873,11,58,6.61
52,,5211,31745,High,418,38,767,10,59,9.11
52,,5311,35832,High,471,51,944,12,54,5.03
52,,5707,28729,High,378,33,691,9,50,7.63
52,,6963,29185,High,384,44,741,10,43,6.99
53,Mkt Avg,,27170,,358,33,603,8,52,9.66
53,,217,23358,Medium,307,20,427,6,51,5.73
53,,426,29049,High,382,34,674,9,71,7.5
53,,1216,27532,High,362,25,512,7,36,12.58
53,,2105,27466,High,361,40,644,8,50,8.88
53,,2427,20616,Medium,271,14,209,3,52,23.29
53,,2996,18681,Medium,246,15,353,5,50,8.73
53,,4240,48170,High,634,97,1497,20,70,4.37
53,,5092,30945,High,407,36,778,10,66,6.04
53,,5889,18717,Medium,246,12,330,4,19,9.77
55,Mkt Avg,,23048,,303,20,441,6,55,9.33
55,,260,32040,High,422,37,675,9,70,8.81
55,,286,18822,Medium,248,13,318,4,71,8.13
55,,565,18868,Medium,248,13,399,5,34,9.14
55,,1118,23877,Medium,314,17,475,6,56,9.32
55,,2667,29545,High,389,15,377,5,26,13.5
55,,4164,17515,Low,230,16,253,3,62,7.12
55,,4215,11209,Low,147,7,198,3,50,10.7
55,,5191,32507,High,428,39,829,11,69,7.91
