Store Nbr,Curr Str On Hand Qty,Item Nbr,Item Desc 1,UPC
2258,7,587682370,SIM 3TC SEN 20.1OZ,7007468071
2282,7,551144162,SIM COMF 12OZ,7007462600
2477,7,2617742,SIM SPIT 12.3OZ,7007450960
2725,7,551174934,ELECARE 14.1OZ,7007453511
2777,7,551144162,SIM COMF 12OZ,7007462600
2853,7,587577973,SIM SEN 20.1OZ,7007468083
2912,7,551144162,SIM COMF 12OZ,7007462600
3098,7,587577952,SIM PRO-ADV 20.6OZ,7007468089
3248,7,551174934,ELECARE 14.1OZ,7007453511
3452,7,551144162,SIM COMF 12OZ,7007462600
3489,7,551174934,ELECARE 14.1OZ,7007453511
3584,7,587577957,SIM ORG A2 TOD,7007468105
3587,7,587682370,SIM 3TC SEN 20.1OZ,7007468071
3610,7,551174934,ELECARE 14.1OZ,7007453511
3610,7,587577952,SIM PRO-ADV 20.6OZ,7007468089
3626,7,4021620,ELECARE JR VAN PWDR,7007456586
3653,7,587577953,SIM PRO-SEN 20.1OZ,7007468091
3781,7,587577953,SIM PRO-SEN 20.1OZ,7007468091
3826,7,551174934,ELECARE 14.1OZ,7007453511
4148,7,587577952,SIM PRO-ADV 20.6OZ,7007468089
4340,7,551174934,ELECARE 14.1OZ,7007453511
4425,7,551144162,SIM COMF 12OZ,7007462600
4545,7,4021788,ELECARE JR. UNF PWDR,7007455254
5025,7,4021620,ELECARE JR VAN PWDR,7007456586
5231,7,551144162,SIM COMF 12OZ,7007462600
5308,7,2617742,SIM SPIT 12.3OZ,7007450960
5327,7,587577952,SIM PRO-ADV 20.6OZ,7007468089
5466,7,551174934,ELECARE 14.1OZ,7007453511
