Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
507,42,64,2,1,3,0,0,0,0,6,63, 4.56 ,17.16%,11,14
545,42,72,2,0,3,0,0,0,0,5,63, 4.55 ,12.59%,12,15
528,42,64,2,1,3,1,7,0,0,14,62, 4.71 ,16.36%,13,17
546,42,72,2,1,3,1,7,0,0,14,62, 4.51 ,8.82%,14,18
499,42,59,2,1,3,1,7,0,0,14,59, 4.54 ,12.69%,15,21
485,42,59,2,0,3,0,0,0,0,5,59, 4.52 ,16.89%,16,22
510,42,61,2,1,3,1,0,0,0,7,58, 4.66 ,11.11%,17,23
102,42,72,2,1,3,0,0,0,0,6,57, 4.61 ,8.77%,18,25
481,42,61,2,1,3,1,7,0,0,14,56, 4.59 ,13.93%,19,28
533,42,64,2,0,3,0,0,0,0,5,56, 4.58 ,15.60%,20,29
490,42,61,2,1,3,0,0,0,0,6,56, 4.53 ,15.80%,21,31
542,42,64,2,0,3,1,0,0,0,6,55, 4.62 ,20.19%,22,33
557,42,61,2,1,3,1,7,0,0,14,53, 4.62 ,12.94%,23,41
554,42,59,0,1,3,1,0,0,0,5,52, 4.52 ,16.41%,24,45
551,42,61,2,1,3,0,0,0,-3,3,51, 4.61 ,13.43%,25,48
566,42,59,2,1,3,1,0,0,0,7,50, 4.57 ,17.62%,26,52
549,42,72,2,1,3,0,0,0,0,6,49, 4.63 ,14.30%,27,58
561,42,64,2,1,3,0,0,0,0,6,48, 4.58 ,14.91%,28,61
512,42,61,2,0,3,1,0,0,0,6,48, 4.55 ,13.59%,29,62
397,42,61,2,1,3,0,0,0,0,6,47, 4.63 ,11.41%,30,65
498,42,59,0,1,3,1,0,0,0,5,47, 4.62 ,16.90%,31,66
502,42,59,0,0,3,1,0,0,0,4,47, 4.53 ,14.55%,32,67
559,42,72,0,1,3,1,0,0,0,5,46, 4.62 ,12.02%,33,71
500,42,59,2,1,3,0,0,0,0,6,46, 4.58 ,11.26%,34,72
494,42,59,2,1,3,0,0,0,0,6,44, 4.48 ,16.75%,35,86
552,42,61,0,0,3,1,0,0,0,4,43, 4.59 ,12.98%,36,94
